,e_name,e_category,e_type
0,Kebabs R Yummy,fast_food,0
1,Stop 140: Fraser Street,bus_stop,0
2,Swop Clothing Exchange,clothes,0
3,Java Cafe,cafe,0
4,Commonwealth Bank,atm,0
5,RC Garage,hobby,0
6,Coco Charlie,clothes,0
7,Kealba Community Center,community_centre,1
8,Highpoint Shopping Centre,mall,1
9,Clearwater Car Wash,car_wash,0
10,Clarinda Community Centre,community_centre,1
11,Eastland (West),mall,1
12,The Clayton Hotel (West),hotel,1
13,Monticello Pizza,restaurant,0
14,Real Thai,massage,0
15,Melbourne Boulevard Pharmacy,pharmacy,0
16,Merri Business Park/Normanby Avenue,bus_stop,0
17,Kodiak Club,bar,0
18,Edward Meller,clothes,0
19,Northland Shopping Centre,mall,1
20,JB Hi-Fi,electronics,0
21,IGA,supermarket,0
22,Cardboard,waste_basket,0
23,Spoke n Sprocket,bicycle,0
24,Limnos Butcher,butcher,0
25,Ta Quang Huy & Associates,office,0
26,Legacy,charity,0
27,The BIndery,craft,0
28,Glen Eira Town Hall (Sec. F),townhall,1
29,The Falafel Man,fast_food,0
30,Chapman & Bailey,craft,0
31,Yarra Bottlemart,alcohol,0
32,The Hive,mall,1
33,Vaphilia,tobacco,0
34,Snag Stand,fast_food,0
35,Grace Baptist Community Church,place_of_worship,0
36,Nova Pharmacy,pharmacy,0
37,Poolman Street,bus_stop,0
38,7-Eleven,fuel,0
39,Blue Stool,cafe,0
40,Ganton Ct/Tortice Dr,bus_stop,0
41,idea box,office,0
42,Waterdale Bake House,bakery,0
43,Glen Eira Town Hall,townhall,1
44,Beach Street Family Medicine,doctors,1
45,Crown Entertainment Complex,casino,1
46,WoodsYard,wine,0
47,Eastland,mall,1
48,Piedimonte's IGA,supermarket,0
49,Australian Meat Company,butcher,0
50,St. Eustathios Church,place_of_worship,0
51,White Lady Funerals,funeral_directors,0
52,Capelli,hairdresser,0
53,Churches of Christ Theological College (Section C),university,1
54,Jay Jays,clothes,0
55,Domino's,fast_food,0
56,Cellarbrations,alcohol,0
57,Sweet Pea Florist,florist,0
58,Mecca Bros. Fruit & Vegetables,supermarket,0
59,Greater Knox Family Practice (Building 4),doctors,1
60,Pronto Pizza,fast_food,0
61,Rifle Club Hotel,pub,0
62,Arbory Afloat,bar,0
63,Golden Prawn,restaurant,0
64,Middle Park Community Centre,community_centre,1
65,"Peter Khalil MP, Federal member for Wills",office,0
66,Master Dry Cleaners,dry_cleaning,0
67,Greater Knox Family Practice,doctors,1
68,SaltWater Community Centre,community_centre,1
69,Three Phase Rehearsal Studios - Blk. 5,studio,1
70,Metcher's Dry Cleaning,dry_cleaning,0
71,Ren Dao,restaurant,0
72,Family fishing lake,leisure,0
73,Waverley Gardens Dental Clinic,dentist,0
74,Toilet 46,toilets,0
75,Once Upon A Slime,artwork,0
76,Buckets and Spades for kids,clothes,0
77,7-Eleven,fuel,0
78,Abbotsford Convent,attraction,1
79,On the Mend,clothes,0
80,Bank of Melbourne,bank,0
81,Aria,restaurant,0
82,Liquorland,alcohol,0
83,Ecovantage,office,0
84,New Quay Buffet,restaurant,0
85,Biggin Scott,office,0
86,George's Milk Bar,convenience,0
87,Shiraaz,restaurant,0
88,ACS,office,0
89,VisionPro,craft,0
90,Early Settler,furniture,0
91,Batman’s Hill on Collins (West),hotel,1
92,Turf Bar,pub,0
93,Sandringham Yacht Club,information,0
94,Organic Wholefoods,supermarket,0
95,F45 Training,leisure,0
96,Dollar Curtains & Blinds,curtain,0
97,Whitehorse Gardens,bus_stop,0
98,Shanghai Street Xiaolongbao And Dumpling,restaurant,0
99,Ducati City,motorcycle,0
100,Collingwood Confidential,brothel,0
101,Centre for Nanofabrication/Wellington Rd,bus_stop,0
102,St Vincent's Underground Car Park,parking,0
103,Tatts,lottery,0
104,Foodworks,supermarket,0
105,Spirit Of India,restaurant,0
106,Queen St Flower Co,florist,0
107,Pines Learning & Activity Centre,community_centre,1
108,Frank A Boday,office,0
109,Pt. Leo Estate (Section C),craft,1
110,4Cyte Pathology,clinic,0
111,Da Guido La Pasta,restaurant,0
112,Sun Theatre - Block 4,cinema,1
113,Champ Street,bus_stop,0
114,Back In Motion,healthcare,0
115,Public Toilets,toilets,0
116,ITFutures,office,0
117,Coles,supermarket,0
118,Langwarrin Shopping Centre (West),mall,1
119,Bellvue Street/Blyth Street,bus_stop,0
120,Eltham Ridge Pharmacy,chemist,0
121,Westland Furniture,furniture,0
122,Splendid Kitchen,kitchen,0
123,Sir Charles,cafe,0
124,Subway,fast_food,0
125,Ultratune,car_repair,0
126,Insignia on Flinders,pub,0
127,Code Black,cafe,0
128,City of Hope,place_of_worship,0
129,Royal Children's Hospital (Section A),hospital,1
130,Epworth Richmond Hospital,hospital,1
131,Sosumi Japanese Restaurant,restaurant,0
132,St Kilda Road Post Shop,post_office,0
133,Pioneer Walk Rock Monument,historic,0
134,Epic Centre - Block 2,office,1
135,Baxter Institute (Automotive and Bakery Campus) - Block 2,college,1
136,TAB,bookmaker,0
137,Middle Park Community Centre (Bld. 2),community_centre,1
138,St James' Op-Shop,second_hand,0
139,Mantra St Kilda Road,hotel,1
140,An Nam,restaurant,0
141,Mantra St Kilda Road (Building 5),hotel,1
142,TAP831,restaurant,0
143,St Thomas Anglican Church,place_of_worship,0
144,Belgian Beer Cafe,pub,0
145,Minh Hưng,seafood,0
146,William Angliss Institute,college,1
147,Marcella,restaurant,0
148,IKEA EV chargers,charging_station,0
149,Brunswick Mess Hall,restaurant,0
150,McNamara Avenue/Fullarton Road,bus_stop,0
151,Kavanagh Street/Southbank Boulevard,bus_stop,0
152,Dunning Kruger,bar,0
153,Fitzroy Business Centre,post_office,0
154,Dia Tang Vuong,artwork,0
155,Mini Me Salon,hairdresser,0
156,Underground carpark toilets,toilets,0
157,Law Bookshop,books,0
158,Port Jackson Press Print Room,art,0
159,Australia Post - Batman LPO,post_office,0
160,Monash Vale Early Learning Centre,kindergarten,0
161,District 5 Bistro,restaurant,0
162,Cafe Flo,cafe,0
163,Roadhaven Cafe,cafe,0
164,Rubiki,cafe,0
165,Free Choice,tobacco,0
166,Bank of Melbourne,atm,0
167,Birrarung Wilam (Common Ground),artwork,0
168,Caltex Ascot Vale,fuel,0
169,Epic Centre,office,1
170,Mr McCracken Bar and Restaurant,restaurant,0
171,Melbourne Pathology,clinic,0
172,Clarinda Community Centre (West),community_centre,1
173,The Hive - Block 2,mall,1
174,BP,fuel,0
175,366 Specialist Nedical Centre,clinic,0
176,Mycelium Studios,arts_centre,0
177,KFC,fast_food,0
178,Zinc,cafe,0
179,ZiNG Pop Culture,collector,0
180,Holy Trinity Church/High Street,bus_stop,0
181,Auski,sports,0
182,Blackhearts & Sparrows,alcohol,0
183,Willocks Lawyers,office,0
184,Vic Street Gallery,gallery,0
185,Monash University Post Office,post_office,0
