,e_name,e_category,e_type
0,Orangetheory Fitness,leisure,0
1,Pier 54 (Section C),building,1
2,U-Frame-It,photo,0
3,Panama Hotel,commercial,1
4,The Liberty Building - Blk. 4,building,1
5,Northwest Professional Center (Bld. 6),building,1
6,Pier 54,building,1
7,Encore Restaurant Equipment,restaurant_supply,0
8,Tutta Bella Neapolitan Pizzeria,restaurant,0
9,University Way NE & NE 50th St,bus_stop,0
10,Northgate Cleaners,dry_cleaning,0
11,Dexter Ave N & Mercer St,bus_stop,0
12,Sensei,artwork,0
13,Picnic Shelter 1,picnic_site,0
14,Kin Dee,restaurant,0
15,The Broadway Building (West),building,1
16,Walgreens,chemist,0
17,Mayflower Park Hotel Seattle,hotel,1
18,Winners on California,hairdresser,0
19,Mr. Detail,car_detail,0
20,E Cherry St & 31st Ave,bus_stop,0
21,Sundial,artwork,0
22,Mud Bay,pet,0
23,Refine Nails and Spa,beauty,0
24,The RuHaRa Building,building,1
25,PLUMA,artwork,0
26,LeBlanc Floors & Interiors,flooring,0
27,Bank of America,atm,0
28,Tacos El Asadero,fast_food,0
29,The Westin Seattle (Bld. 8),hotel,1
30,The 515,bar,0
31,NE Pacific Pl & NE Pacific St,bus_stop,0
32,Dragon Seeker,artwork,0
33,Pacific Building,building,1
34,Associated Counsel for the Accused (ACS),office,0
35,Port of Seattle Headquarters - Blk. 2,office,1
36,Umma's Lunch Box,fast_food,0
37,Limantzakis Properties,office,0
38,Local Coffee Spot,cafe,0
39,Mi Fondita Del Itsmo,restaurant,0
40,Courthouse Cafe,fast_food,0
41,Motif Seattle Hotel (Sec. H),hotel,1
42,found,interior_decoration,0
43,Hotel Max,hotel,1
44,Starbucks,cafe,0
45,Daybreak Star Indian Cultural Center (Building 6),arts_centre,1
46,Argosy Visitor Center,information,0
47,Vain,hairdresser,0
48,Art of the Table,restaurant,0
49,Metropolitan Park: North Tower,building,1
50,Tousle,hairdresser,0
51,Enat Ethiopian Restaurant,restaurant,0
52,1899 Grove,food_court,1
53,Tangerine Thai,restaurant,0
54,Thanh Vi,restaurant,0
55,Brumbaugh & Associates,office,0
56,Aaron's Dry Cleaners,dry_cleaning,0
57,Governor John Harte Mcgraw,artwork,0
58,The Halal Guys,fast_food,0
59,Pike Lofts - Blk. 3,building,1
60,KeyBank,bank,0
61,Global Gateway,office,0
62,Fountain of Seseragi,artwork,0
63,Enat Deli,deli,0
64,State Farm,office,0
65,"Swifty Printing & Digital Imaging, Inc.",copyshop,0
66,Georgetown Ballroom,bar,0
67,Slate Coffee Roasters,cafe,0
68,Union Manor;Union Arms (North),building,1
69,15th Ave E & E Republican St,bus_stop,0
70,Dockside Mail,post_office,0
71,Pier 55,building,1
72,Hotel Five (East),hotel,1
73,Broadway Vision Source,optician,0
74,All Pilgrims Christian Church,place_of_worship,0
75,SW Alaska St & California Ave SW,bus_stop,0
76,49th Ave SW & SW Dawson St,bus_stop,0
77,Al's Tavern,pub,0
78,Cirrus,building,1
79,Wells Fargo,atm,0
80,Macrina Bakery - McGraw,bakery,0
81,Fremont Village Square (Building 9),building,1
82,Starbucks,cafe,0
83,Kaffeeklatsch,bakery,0
84,McDonald's,fast_food,0
85,Little Free Library,public_bookcase,0
86,Domino's,fast_food,0
87,7-Eleven,convenience,0
88,Farestart,restaurant,0
89,Portage Bay Cafe,restaurant,0
90,El Centro de la Raza,community_centre,1
91,Ascent South Lake Union,building,1
92,Washington Care Center,clinic,0
93,3rd Ave NW & NW 110th St,bus_stop,0
94,King County Administration Building,office,1
95,The Whale Wins,restaurant,0
96,Pike Lofts,building,1
97,Bright Start Child Care,childcare,0
98,Rob Roy,bar,0
99,Thai Fusion,restaurant,0
100,Elliott Ave W & W Mercer St,bus_stop,0
101,8th Ave NW & NW 45th St,bus_stop,0
102,Stadium Cleaners,dry_cleaning,0
103,Cappy's Gym,leisure,0
104,Brooks Sports (Section G),office,1
105,32nd Ave NW & Loyal Way NW,bus_stop,0
106,Honor Coffee & Tea,Coffee & Tea,0
107,My Foot Massage,massage,0
108,Lakeview Blvd E & Belmont Ave E,bus_stop,0
109,Kinesia Pilates,leisure,0
110,Seattle Publishing,copyshop,0
111,Pacific Cafe Hong Kong Kitchen,restaurant,0
112,24th Ave E & E Prospect St,bus_stop,0
113,Regal Meridian 16,cinema,0
114,Lake View Building (Section G),office,1
115,Pandas Noodle Bar,cafe,0
116,The Continental Apartments,building,1
117,True Love Tattoo,tattoo,0
118,Rock Shop,gift,0
119,The Lice Clinic,clinic,0
120,Pilchuck Glass School,craft,0
121,Wells Fargo,bank,0
122,Aegis on Madison,social_facility,1
123,Red Bowls,restaurant,0
124,Eastern Hotel (Section F),building,1
125,Rite Aid,pharmacy,0
126,Eatery,food_court,1
127,Executive Hotel Pacific,hotel,1
128,Alaska USA Federal Credit Union,bank,0
129,Starbucks,cafe,0
130,Laredo's,restaurant,0
131,Supercuts,hairdresser,0
132,Stone Garden,leisure,0
133,10th Ave E & E Miller St,bus_stop,0
134,15th Ave & E Madison St,bus_stop,0
135,Harbor Steps Southeast Tower,building,1
136,Fremont Foundry (Sec. H),events_venue,1
137,N 35th St & Troll Ave N,bus_stop,0
138,Bank of America,atm,0
139,Porcelain Gallery,arts_centre,0
140,Counterbalance Brewing Company,pub,0
141,Delridge Way SW & SW Oregon St,bus_stop,0
142,Wonderland Gear Exchange,outdoor,0
143,Frolik Kitchen + Cocktails,American (New); Breakfast & Brunch; Cocktail Bars,0
144,Amazon.com Obidos,office,1
145,E Jefferson St & 20th Ave,bus_stop,0
146,Union Hotel-Desc,social_facility,0
147,Greenwood Ave N & N 77th St,bus_stop,0
148,Bangrak Market,restaurant,0
149,Seattle Quilt Lofts,,0
150,Bar Method,leisure,0
151,National Building,building,1
152,CVS Pharmacy,pharmacy,0
153,Seattle Dental Arts,dentist,0
154,206 Burger Company,restaurant,0
155,"Osborne & Machler, Attorneys at Law",office,0
156,Emerald City Cleaners,dry_cleaning,0
157,Assumption Saint Bridget School,school,0
158,Hair Options,hairdresser,0
159,Skalka,restaurant,0
160,St. John United Lutheran Church,place_of_worship,0
161,Crossfit RE,leisure,0
162,Carkeek Nails,beauty,0
163,Bobachine,cafe,0
164,Roosevelt Way NE & NE 105th St,bus_stop,0
165,Madrona Dr & Newport Way,bus_stop,0
166,Fidelity Investments,office,0
167,24th Ave E & E Galer St,bus_stop,0
168,Dream Girls,stripclub,0
169,Megan Mary Olander Flowers,florist,0
170,Ada Developers Academy HQ,office,0
171,FedEx Office,copyshop,0
172,El Borracho,bar,0
173,Seattle City Hall (Building 9),townhall,1
174,Destination Maternity,clothes,0
175,Ghost Alley Espresso,coffee,0
176,Healing Hands,information,0
177,Jolly Roger Taproom,Brewpubs,0
178,Soaring Heart,bed,0
179,Schubert Sonata,artwork,0
180,National Building,building,1
181,Farmers Insurance,office,0
182,Washington Federal,bank,0
183,Sixth & Lenora Building,commercial,1
184,Amazon Fresh Pickup,Grocery; Health Markets; Organic Stores,0
185,Pho Huy,restaurant,0
186,Zara,clothes,0
187,Adonis Commercial Photography,craft,0
188,Northwest Professional Center,building,1
189,1st Ave NE & N 80th St,bus_stop,0
190,King County Juvenile Detention (East),office,1
191,NE 65th St & 8th Ave NE,bus_stop,0
192,Japanese Garden,leisure,0
193,Mei Mei Cafe,cafe,0
194,Starbucks,cafe,0
195,Bunyon's Chess,artwork,0
196,Canton Noodle House,restaurant,0
197,QFC,supermarket,0
198,Aditi,leisure,0
199,Pierre Mitsubishi- Seattle,car_repair,0
200,Home Instead,office,0
201,A Muddy Cup,cafe,0
202,CrossFit Deliverance,leisure,0
203,Byrd Barr Place Food Bank,social_facility,0
204,Rondo,restaurant,0
205,Eatery - Blk. 5,food_court,1
206,Rhodes Holocaust Memorial,historic,0
207,Pemco,office,0
208,24th Ave NW & NW 95th St,bus_stop,0
209,High Dive,bar,0
210,Chuan BBQ,restaurant,0
211,Watson’s Counter,restaurant,0
212,Seattle's First Public School House Memorial,historic,0
213,Martin L King Jr Way S & 37th Ave S,bus_stop,0
214,E Union St & 26th Ave,bus_stop,0
215,15th Ave NE & NE 65th St,bus_stop,0
