,e_name,e_category,e_type
0,One-North (CCL),subway_entrance,0
1,Tree House,leisure,0
2,Cow & Coolies,pub,0
3,Charles & Keith,shoes,0
4,Anglo Indian Cafe & Bar,cafe,0
5,Bedok Neighbourhood Police Post,police,0
6,POSB,bank,0
7,Roxy Square (East),Shopping Centers,1
8,School of Design,office,0
9,Aroy Mookata,restaurant,0
10,Straits Trading,taxi,0
11,Dover Community Centre,community_centre,0
12,Ibis Singapore Novena - Block 5,Hotels,1
13,MOS Burger,fast_food,0
14,The Gaulois Preschool,kindergarten,0
15,Shaw Theatres,cinema,0
16,Bathroom Warehouse,bathroom,0
17,St Joseph Church Station of the Cross,information,0
18,Tim Ho Wan,Dim Sum; Cantonese,0
19,Cotton On Body,Lingerie,0
20,Tampines 1,Shopping Centers,1
21,P.O.A Superstore,Fashion,0
22,Starker Signature,pub,0
23,Shinsho Ramen,restaurant,0
24,JadeScape Showroom,office,0
25,Japan Home,Department Stores; Shopping Centers,1
26,Thomson Plaza - Blk. 2,Shopping Centers,1
27,Foods Treasure,restaurant,0
28,Simply Mex,restaurant,0
29,Carlton Hotel,Hotels,1
30,Sembawang Neighbourhood Police Centre,police,0
31,After Chijmes,bus_stop,0
32,Collin's,restaurant,0
33,Opposite Blk 842C,bus_stop,0
34,Gelatissimo,fast_food,0
35,Labrador Park (CCL),subway_entrance,0
36,UOB,bank,0
37,Food Republic,Food Court,0
38,Compass One,Shopping Centers,1
39,Jurong Point,Shopping Centers,1
40,Bukit Timah Fire Post,fire_station,0
41,Singapore Pools,lottery,0
42,Skechers,shoes,0
43,NetLink Trust Bedok Exchange,office,0
44,Flo Design,office,0
45,Domino's Pizza,fast_food,0
46,Ramen Keisuke Tori King,restaurant,0
47,Hoe Leong Corporation Ltd.,office,0
48,OCBC,bank,0
49,Anytime Fitness,leisure,0
50,Tanglin Mall (Section D),Shopping Centers,1
51,UOB,atm,0
52,Family Clinic,clinic,0
53,PrimaDeli,pastry,0
54,SGX Centre,taxi,0
55,Swirls bake shop,bakery,0
56,UOB,atm,0
57,Tai Cheong Bakery,cafe,0
58,Tree tunnel,attraction,0
59,Greenwich V,Shopping Centers,1
60,Sin Chie Toke Huan Hainanese Curry Rice,restaurant,0
61,National Library,Museums; Libraries,1
62,Wings,pub,0
63,mono.,restaurant,0
64,King Fisher,attraction,0
65,Pepper Lunch,restaurant,0
66,Sengkang Free Clinic,clinic,0
67,7-Eleven,convenience,0
68,Changi General Hospital,Hospitals; Urgent Care,1
69,Pita Bakery,bakery,0
70,Sims Place Terminal,bus_stop,0
71,ChaTraMue,cafe,0
72,White Curry,restaurant,0
73,Mookalicious,restaurant,0
74,The Pit Singapore,leisure,0
75,St. Marc,cafe,0
76,Kuro Maguro,restaurant,0
77,Lian Fong Credit & Trading PTE LTD,money_lender,0
78,7-Eleven,convenience,0
79,Shaw House,Department Stores; Shopping Centers,1
80,Moda Paolo,shoes,0
81,Icon Village,Shopping Centers,1
82,UOB,atm,0
83,National University Hospital,Hospitals,1
84,Loyang Point (Bld. 3),Department Stores; Shopping Centers,1
85,Bedok Reservoir Punggol Harmony RC,community_centre,0
86,Holiday Inn Atrium (Sec. A),Hotels,1
87,Marsiling Station,bus_stop,0
88,Cotton On,clothes,0
89,Square 2,Shopping Centers; Active Life,1
90,Kerluxe,hairdresser,0
91,Erisam Refrigeration Sales & Services,hardware,0
92,OG Orchard Point Carpark,parking,0
93,Opposite Blk 333,bus_stop,0
94,Bukit Batok Neighbourhood Police Post,police,0
95,Mjd Kassim,bus_stop,0
96,Nature Vegetarian 532 Ang Mo Kio Ave 10 #01-2495 560532 11am-9pm.,restaurant,0
97,Happy Bak Kut Teh,fast_food,0
98,Ion Orchard - Block 2,Shopping Centers,1
99,UOB,atm,0
100,Barker Road Methodist Church,place_of_worship,0
101,Bedok Reservoir Station Exit A,subway_entrance,0
102,UOB,atm,0
103,Depot Heights,Shopping Centers,1
104,Orchard Central,Shopping Centers,1
105,University Town,Colleges & Universities,1
106,One Fullerton,Local Flavor; Shopping Centers,1
107,Oni Kitchen Studio,kitchen,0
108,UOB,atm,0
109,Before Waterloo Street,bus_stop,0
110,Browhaus,beauty,0
111,Q Spa,spa,0
112,Nespresso,coffee,0
113,Food Loft,restaurant,0
114,Wing Yap Motor,car_parts,0
115,The Arcade,Shopping Centers,1
116,Learning Kidz @ Jubilee Square,kindergarten,0
117,Shaw House (Sec. B),Department Stores; Shopping Centers,1
118,Hawker Centre,restaurant,0
119,Blk 2,bus_stop,0
120,Blk 15,bus_stop,0
121,Before Tosca Street,bus_stop,0
122,Reservation@Vicki's,restaurant,0
123,Opp Raffles Instn,bus_stop,0
124,NTUC Fairprice,supermarket,0
125,Toast Box,cafe,0
126,OG Albert Complex,Shopping; Shopping Centers,1
127,Wah Thong Co. Pte. Ltd.,office,0
128,After Tiong Bahru Road,bus_stop,0
129,Shree Srisha Minimart,general,0
130,Pin Wei Superior Seafood,restaurant,0
131,One Raffles Place,Real Estate; Landmarks & Historical Buildings; Shopping Centers,1
132,Rice House Vegetarian,restaurant,0
133,The coffee bean and tea leaf,cafe,0
134,NTUC Fairprice,supermarket,0
135,Jurong Dental Surgery,dentist,0
136,OK Bakery,bakery,0
137,I Love Accessories,Accessories,0
138,Rochester Mall (Section D),Shopping Centers,1
139,Hong Da Lighting,lighting,0
140,Timezone,leisure,0
141,One Fullerton (Sec. B),Local Flavor; Shopping Centers,1
142,Fitness Area 2,leisure,0
143,Sentosa,artwork,0
144,Aayisha Briyani House,restaurant,0
145,Bathroom Elements,bathroom_furnishing,0
146,Moni,art,0
147,Food Exchange,restaurant,0
148,Uniqlo,clothes,0
149,Welcia BHG,chemist,0
150,Hungry Jack Stall Koufu Food Court,Italian; American (Traditional); Asian Fusion,0
151,Q&M Dental Surgery,dentist,0
152,Nanyang Cres Halls,bus_stop,0
153,Bank of China,bank,0
154,PCF Sparkletots @ Sengkang Central Blk 206A,kindergarten,0
155,UOB,atm,0
156,Thomson Plaza,Shopping Centers,1
157,Be Frank,restaurant,0
158,Sushi Express,restaurant,0
159,Bosch Home Appliances Customer Service Center,services,0
160,Hei Sushi,pastry,0
161,Ion Orchard,Shopping Centers,1
162,Hugo Boss,Men's Clothing; Formal Wear; Women's Clothing,0
163,Anytime Fitness Paya Lebar,leisure,0
164,Exercise equipment,leisure,0
165,Careshop de Cafe,cafe,0
166,NTUC FairPrice,supermarket,0
167,DNIV International Pte Ltd,electrical,0
168,Triumph,artwork,0
169,Amara Singapore,Hotels,0
170,BaWangChaJi,cafe,0
171,"Avis, Budget",car_rental,0
172,Ah Hoe Mee Pok,restaurant,0
173,Ai Jai Grocery & Minimart,convenience,0
174,Gali Batu,motorway_junction,0
175,Fo You Yuan Vegetarian Restaurant,restaurant,0
176,Starbucks,cafe,0
177,Rafflestag,gift,0
178,Bedok Family Clinic & Surgery,clinic,0
179,My First Skool (332B Anchorvale Link),kindergarten,0
180,E-Sarn Thai Corner,restaurant,0
181,Grundfos,bus_stop,0
182,The Intan,museum,0
183,Bedok Town Square,artwork,0
184,En Sushi,restaurant,0
185,Mammoet Singapore Pte. Ltd.,office,0
186,Cathay Cineplex,cinema,0
187,Changi Beach Park - Blk. 4,Beaches; Parks,1
188,Guanaco,attraction,0
189,Boon Lay Way,bus_stop,0
190,Waa Cow! Marina One,restaurant,0
191,Bosses,restaurant,0
192,Sinpopo Coffee,cafe,0
193,Pit 27D,bbq,0
194,Hindhede Quarry,information,0
195,Flair,hairdresser,0
196,Jia Xiang,restaurant,0
197,Cathay Cineleisure Orchard,Shopping Centers; Fashion,1
198,Woodlands Temporary Interchange,bus_station,0
199,Whampoa Makan Place,Chinese; Shopping Centers,1
200,Blk 97,bus_stop,0
201,Serene Centre (West),Shopping Centers,1
202,Easy Cut,hairdresser,0
203,Toof Doctor,dentist,0
204,OCBC,bank,0
205,Dimbulah,cafe,0
206,Tracy Juice Culture,restaurant,0
207,Icon Village,Shopping Centers,1
208,POSB ATM,atm,0
209,Mt Everests Spa,massage,0
210,Hard Rock Cafe,restaurant,0
211,Starbucks,cafe,0
212,Lazada,office,0
213,Big Mama,restaurant,0
214,Balestier Plaza,Shopping; Shopping Centers,1
215,Eight Immortals Vegetarian - Toa Payoh,restaurant,0
216,Katia Verde Art,craft,0
217,VENUE by Sebastian,restaurant,0
218,Kent Vale,University Housing; Real Estate,1
219,UOB,atm,0
220,Malay Garden,information,0
221,Nine,bar,0
222,UOB,bank,0
223,5 Senses Bistro,cafe,0
224,MacPherson Medical Clinic,clinic,0
225,Mural,attraction,0
226,Berries World @ Kovan Simon Road,prep_school,0
227,Golden Mile Complex,bus_stop,0
228,Henderson Waves Bridge,bench,0
229,Bata,shoes,0
230,TRIT Computer,craft,0
231,Lian Seng Hin,tiles,0
232,Boon Keng (NEL),subway_entrance,0
233,Copy Shop (1$ color),copyshop,0
234,istudio,electronics,0
235,Hut 15C,shelter,0
236,District 10 Bar Tapas Restaurant,restaurant,0
237,Ya Kun Kaya Toast,cafe,0
238,Nanyang Technological University,Colleges & Universities,1
239,Immigration & Checkpoints Authority,office,0
240,Eat 3 Bowls,restaurant,0
241,Seah Construction Pte Ltd,office,0
242,Saap Saap Tha,restaurant,0
243,The Arcade (Section H),Shopping Centers,1
244,Hougang Mall,Shopping Centers,1
245,NTU Centre for Contemporary Art Singapore,office,0
246,Courts,electronics,0
247,Nueva Curtain Gallery,curtain,0
248,UOB,bank,0
249,7-Eleven,convenience,0
250,Central,craft,0
251,Bishan North Shopping Mall,Shopping Centers,1
252,Singapore Management University,Colleges & Universities,1
253,Giant,supermarket,0
254,UOB,bank,0
255,The Minton,guest_house,0
256,Project Pizza,fast_food,0
257,Jurong Seventh-day Adventist Church,place_of_worship,0
258,Navis,beauty,0
259,Opposite Singapore Indoor Stadium,taxi,0
260,Kranji Sanctuary Golf Club,sport,0
261,Pagoda Street,historic,0
262,McDonald's,fast_food,0
263,Kin Hoi Cockles and Shellfish,fast_food,0
264,Rich and good cake shop,confectionery,0
265,LeNu,restaurant,0
266,Whampoa Makan Place - Blk. 5,Chinese; Shopping Centers,1
267,Beer & Hops,bar,0
268,Ribs Wings Burgers,restaurant,0
269,Mandarin Gallery,Shopping Centers,1
270,After Dunbar Wk,bus_stop,0
271,58 Prawn Noodle,restaurant,0
272,Zi Yean,restaurant,0
273,Pheim Asset Management,office,0
274,Bugis Junction,Shopping Centers,1
275,YDM Beauty Saloon,hairdresser,0
276,Northern Opticians,optician,0
277,O.BBa,restaurant,0
278,Fitness factory,leisure,0
279,Serene Centre,Shopping Centers,1
280,Bam Tapas Sake Bar,bar,0
281,McDonald's,fast_food,0
282,tentage,place_of_worship,0
283,73 @ Hillcrest,restaurant,0
284,City Square Mall (Sec. E),Shopping Centers,1
285,Lucky Chinatown,Shopping Centers,1
286,Western Union,money_transfer,0
287,OCBC,atm,0
288,The Blarney,pub,0
289,EpiCentre,Electronics,0
290,PBA Solutions,office,0
291,Paya Lebar Square,Shared Office Spaces; Shopping Centers,1
292,Ngee Ann City,Shopping Centers,1
293,Terror Club,restaurant,0
294,Bdazzle Jewelry,Piercing,0
295,T-Pioneer Auto Pte. Ltd.,office,0
296,Bedok Station,taxi,0
297,People's Park Centre,Shopping Centers,1
298,Ng Teng Fong General Hospital,parking_entrance,0
299,Nicoll Highway (CCL),subway_entrance,0
300,NOVOTEL MERCURE @ STEVENS,bus_stop,0
301,Texas Chicken,Singaporean,0
302,Claymore Connect,Shopping Centers,1
303,Tamoya,restaurant,0
304,Orchard Gateway,Shopping Centers,1
305,DBS ATM,atm,0
306,Jurong Point (Building 7),Shopping Centers,1
307,The Interior Place,interior_decoration,0
308,Burger King,fast_food,0
309,BFF Climb,leisure,0
310,UOB,bank,0
311,Mr Bean,fast_food,0
312,Uniqlo,Men's Clothing; Women's Clothing; Children's Clothing,0
313,Patro's,restaurant,0
314,OG Albert Complex,Shopping; Shopping Centers,1
315,Monochrome,restaurant,0
316,UOB,atm,0
317,The Flip Flop Shop,shoes,0
318,Ngee Ann City (Building 5),Shopping Centers,1
319,Pets Vale,pet,0
320,Tingkat Peranakan,restaurant,0
321,Arbite,restaurant,0
322,Nippon Paint,paint,0
323,Tanjong Pagar Plaza,Shopping Centers,1
324,Feet Haven,beauty,0
325,Tanglin Mall,Shopping Centers,1
326,Xin Wang Hong Kong Cafe,Chinese,0
327,The Butter Studio,restaurant,0
328,Elbow Room,bar,0
329,Beach Road Scissor-Cut Curry Rice,restaurant,0
330,Selffix D.I.Y.,Hardware Stores; Home Services; Electronics,0
331,Depot Heights - Block 4,Shopping Centers,1
332,Vision Lab,optician,0
333,Kovan Station,taxi,0
334,Lloyd Leas Work Rel Camp,bus_stop,0
335,California Pizza Kitchen,Pizza,0
336,Money Max,money_lender,0
337,Far East Square (Section H),Department Stores; Shopping Centers,1
338,PS.Cafe,Cafes,0
339,Pit 24C,bbq,0
340,219 Design,office,0
341,W 39 Bistro & Bakery,cafe,0
342,Xiang Ji Chicken Rice (Since 1986),fast_food,0
343,Kuriya Dining,Japanese,0
344,Snip Avenue,Hair Stylists,0
345,HarriAnn's Delights,Desserts,0
346,Nex (Building 9),Shopping Centers,1
347,DBS,bank,0
348,Akira Back,restaurant,0
349,Lighthouse Climbing,leisure,0
350,UOB,atm,0
351,Astons,restaurant,0
352,Chinatown Point - Block 5,Shopping Centers,1
353,National University Hospital (Section F),Hospitals,1
354,Esso (Building 7),Gas Stations; Car Wash,1
355,Artemis restaurant (40th floor),restaurant,0
356,MADDspace,dancing_school,0
357,Four Leaves,bakery,0
358,Sky Mirror,artwork,0
359,112 Katong,Shopping Centers,1
360,POSB,bank,0
361,UOB,atm,0
362,Paya Lebar Square - Block 3,Shared Office Spaces; Shopping Centers,1
363,Soup Restaurant,restaurant,0
364,Bread Yard,Bakeries; Breakfast & Brunch,0
365,Singapore Casket,funeral_directors,0
366,Paul,French; Coffee & Tea; Bistros,0
367,Angelican Care Center,office,0
368,Hindhede Nature Park,information,0
369,Taiwan Porridge,restaurant,0
370,Nora's Pastries & Snacks,bakery,0
371,Miss Tea,cafe,0
372,Bugis Junction (South),Shopping Centers,1
373,L&L Family Medicine Clinic,clinic,0
374,McDonald's,fast_food,0
375,UOB,bank,0
376,Balestier Plaza - Block 4,Shopping; Shopping Centers,1
377,After Haw Par Glass Tower,bus_stop,0
378,Ban Sok Thai Noodle,restaurant,0
379,Toast Box,cafe,0
380,After Neythal Road,bus_stop,0
381,Newton Station,taxi,0
382,Robertson Walk,Local Flavor; Shopping Centers,1
383,BBQ Wholesale,restaurant,0
384,Sheng Siong,supermarket,0
385,Miam Miam,Japanese; Italian; French,0
386,Opp Southernmost Point,bus_stop,0
387,Smart-Wares Pte Ltd,office,0
388,Dempsey Hill,Seafood; Shopping Centers,1
389,Coach,bag,0
390,Mei Salon,hairdresser,0
391,Mobile phone repair specialist center,mobile_phone,0
392,NTUC FairPrice Xtra,supermarket,0
393,UOB,atm,0
394,Arianespace Singapore Pte Ltd.,office,0
395,Opposite Blk 816A,bus_stop,0
396,Far East Shopping Centre,Shopping Centers,1
397,Golden Mile Food Centre (East),Food Court,1
398,Compassvale Plaza Residents' Committee,office,0
399,Golden Cafe,cafe,0
400,Ichiban Boshi,restaurant,0
401,Bukit Merah Branch Office,townhall,0
402,Teck Sang Pte Ltd,"Spices,_pulses,_marine_products,_herbs_and_traditional_Chinese_food_items",0
403,Lucky Chinatown (Bld. 9),Shopping Centers,1
404,SATA CommHealth Uttamram Medical Centre,clinic,0
405,Mrs Sam's,office,0
406,The Cathay,Shopping Centers,1
407,Subway,Fast Food,0
408,Chancery Lane Pill Box,attraction,0
409,100AM - Blk. 4,Shopping Centers,1
410,Roxy Square,Shopping Centers,1
411,Ya Kun Kaya Toast,cafe,0
412,Lamp Post 11,bus_stop,0
413,Louis Vuitton,clothes,0
414,Haruman Makkah,perfumery,0
415,Cold Storage,supermarket,0
416,Opposite Changi City Point,bus_stop,0
417,Minimart,convenience,0
418,Wilby Central - Blk. 2,Hotels,1
419,The Gallery House,arts_centre,0
420,Jia Xiang Sarawak Kolo Mee,restaurant,0
421,Super Dario Lasagne,Italian,0
422,OCBC Centre,bus_stop,0
423,Ruins,attraction,0
424,Cuvier's Dwarf Caiman,attraction,0
425,Gold & Silver,jewelry,0
426,McDonald's,fast_food,0
427,WLS Engineering & Hardware,office,0
428,National Library - Block 4,Museums; Libraries,1
429,Sweetestchoice by Yatie Karim,confectionery,0
430,Embassy of Romania,office,0
431,Bishan Station,taxi,0
432,East Coast Lagoon Food Village,Asian Fusion; Food Court,1
433,Pet Lovers Centre,pet,0
434,Liberal Arts Education Centre,office,0
435,Pit 07C,bbq,0
436,After Saint John's Cresent,bus_stop,0
437,Yio Chu Kang Stadium,Stadiums & Arenas,1
438,Dmen's Salon,hairdresser,0
439,Ifry,fast_food,0
440,Tong Heng Confectionery,confectionery,0
441,Hut 33E,shelter,0
442,Sri Vadapathira K Temple,bus_stop,0
443,Tampines 1 (North),Shopping Centers,1
444,John Little,Food,0
445,The Daily Scoop,fast_food,0
446,POSB,atm,0
447,Ibis Singapore Novena,Hotels,1
448,Bollore Logistics,office,0
449,Seventh-day Adventist Kindergarten,kindergarten,0
450,Tampines Family Medicine Clinic,clinic,0
451,My Math Story Enrichment Centre,prep_school,0
452,Station 4,artwork,0
453,Pawfessional,pet,0
454,Japan Home - Blk. 4,Department Stores; Shopping Centers,1
455,Square 2 - Block 5,Shopping Centers; Active Life,1
456,CapitaGreen - Blk. 3,Shared Office Spaces; Venues & Event Spaces,1
457,Companion Animal Surgery,veterinary,0
458,Munch Saladsmith,Salad; Sandwiches; Juice Bars & Smoothies,0
459,Bench,bench,0
460,Millenia Walk,Shopping Centers,1
461,Tan Kah Kee (DTL),subway_entrance,0
462,Esso,Gas Stations; Car Wash,1
463,Societe Canteen,Food,0
464,Beauty Lane,beauty,0
465,Song Fa Bak Kut Teh,restaurant,0
466,UOB,atm,0
467,Bigmama BBQ & Beer,restaurant,0
468,Success Vegetarian House,restaurant,0
469,Lion-Tailed Macaque,attraction,0
470,Zeppelin & Co,High Fidelity Audio Equipment; Coffee & Tea,0
471,K.Star,karaoke_box,0
472,Chui Huay Lim Club (Section D),Social Clubs; Recreation Centers,1
473,Uber,office,0
474,Changi Beach Park,Beaches; Parks,1
475,Farrer Park Station,taxi,0
476,7-Eleven,convenience,0
477,Fazz Urban Farm,butcher,0
478,Yishun (NSL) Exit C,subway_entrance,0
479,Golden Mile Food Centre,Food Court,1
480,Kumon,prep_school,0
481,Gan Eng Seng Secondary School,bus_stop,0
482,Rajans Mart,variety_store,0
483,Pan Pacific Serviced Suites,Hotels,1
484,HarbourFront Centre,Shopping Centers,1
485,Orchard Gateway (Section G),Shopping Centers,1
486,UOB,atm,0
487,Hut 44F,shelter,0
488,Mufiz Restaurant,restaurant,0
489,Chin Leong Bicycle Co.,bicycle,0
490,Delfi Orchard - Block 2,Art Galleries; Shopping Centers,1
491,P&G Photographic Centre,photo,0
492,Jin Yu Coffee House,restaurant,0
493,University Town,bus_stop,0
494,Dolly Club,fashion_accessories,0
495,Bombay Grill,restaurant,0
496,Fun Toast,cafe,0
497,The Mad Men Attic Bar,cafe,0
498,Bukit Merah View Food Centre,restaurant,0
499,Clementi Fire Station,fire_station,0
