,e_name,e_category,e_type
0,All Star Wing & Ribs,sports,0
1,Mr. Sub,fast_food,0
2,Consulate General of Hungary,office,0
3,May Street,bus_stop,0
4,Lansdowne,subway_entrance,0
5,Galleria on the Park,condo,0
6,FiGO,restaurant,0
7,The Oxley,Gastropubs; Bars; British; Nightlife; Pubs; Restaurants,1
8,Godiva Chocolatier,chocolate,0
9,Dragon City,Shopping; Shopping Centers,1
10,RBC,bank,0
11,da Vinci School,school,0
12,Enco Auto Trim,car_repair,0
13,Evans Real Estate,office,0
14,Bike Share Toronto,bicycle_rental,0
15,Fardin Fashion,clothes,0
16,Booster Juice,fast_food,0
17,Saje,cosmetics,0
18,Parkway Mall,Shopping Centers; Shopping,1
19,Harry Rosen,clothes,0
20,Riverdale Farm,zoo,0
21,Bagel & Co.,fast_food,0
22,Mont Blanc,jewelry,0
23,Liberty Village Eye Care,optician,0
24,Meet You,fast_food,0
25,Commercial Vision,office,0
26,Start Auto Electric Ltd.,car_repair,0
27,Second Cup,cafe,0
28,Paws’ World,pet,0
29,Canada's National Ballet School,Event Planning & Services; Arts & Entertainment; Dance Schools; Specialty Schools; Venues & Event Spaces; Opera & Ballet; Education,1
30,Sleep Country - Blk. 5,Home & Garden; Shopping; Furniture Stores; Mattresses,1
31,Gravitypope,clothes,0
32,Petro-Canada,fuel,0
33,The Eye Exam Place,optician,0
34,Zenith Shoes,shoes,0
35,Eglinton West Law Office,office,0
36,Dufferin Mall,Shopping Centers; Shopping,1
37,Aspen Cleaners,laundry,0
38,Cedarbrae Mall,Shopping; Shopping Centers,1
39,Allied Properties REIT,office,0
40,Parkview Convenience,convenience,0
41,Domino's,fast_food,0
42,East Liberty Medical Centre,doctors,0
43,Popeyes,fast_food,0
44,Nordstrom,Women's Clothing; Fashion; Men's Clothing; Shopping; Department Stores,1
45,Barrio Cerveceria,restaurant,0
46,revitasize,fast_food,0
47,Veghed Fresh Bar,fast_food,0
48,Bathurst Street,bus_stop,0
49,Consulate General of India,office,0
50,Phantom Outlet,clothes,0
51,Salon Miraj,hairdresser,0
52,Sleep Country,bed,0
53,Newport Fish & Seafood,seafood,0
54,Museum,subway_entrance,0
55,Tim Hortons,cafe,0
56,Pet Valu,pet,0
57,Chatr,mobile_phone,0
58,Bergo,gift,0
59,Bosnar Centre for Health,healthcare,0
60,OK2 Diner,restaurant,0
61,Shuter Street,bus_stop,0
62,The Strathcona Hotel,Hotels & Travel; Bars; Event Planning & Services; Hotels; Pubs; Nightlife,1
63,Toronto Hippo Tours,tours,0
64,Green's Antiques,antiques,0
65,Paradise Print,copyshop,0
66,York Street;Bay Street;Yonge Street,motorway_junction,0
67,Duffy's Diner,restaurant,0
68,Correnti Cigars,tobacco,0
69,Dave's Hot Chicken,restaurant,0
70,Market 707,Shopping Centers; Shopping; Tapas/Small Plates; Restaurants,1
71,Jump,restaurant,0
72,Shoppers Drug Mart,pharmacy,0
73,918 Bathurst (Section B),Shopping; Event Planning & Services; Art Galleries; Arts & Entertainment; Education; Performing Arts; Venues & Event Spaces,1
74,Tim Hortons,cafe,0
75,Centennial College,Colleges & Universities; Education,1
76,Sports Medicine Rehabilitation,healthcare,0
77,"Toronto Star, Toronto Sun",vending_machine,0
78,Centennial College,Colleges & Universities; Education,1
79,Mii Sandwich,fast_food,0
80,Bendale Bible Chapel,place_of_worship,0
81,Aaron's,furniture,0
82,Toronto Head & Neck Clinic,clinic,0
83,Sansotei Ramen,restaurant,0
84,McDonald's,fast_food,0
85,Anna Bella,clothes,0
86,Cedarbrae Mall - Block 3,Shopping; Shopping Centers,1
87,Refelli,clothes,0
88,Happy Coffee and Wine,cafe,0
89,8th and Main,clothes,0
90,Canadian Football League,office,0
91,Odds and Ends,second_hand,0
92,Robarts Library,Public Services & Government; Libraries,1
93,Healthy Planet,nutrition_supplements,0
94,The Carbon Bar,bar,0
95,Uncle Tetsu's Japanese Angel Cafe,cafe,0
96,Market 707 - Blk. 5,Shopping Centers; Shopping; Tapas/Small Plates; Restaurants,1
97,Dollarama,variety_store,0
98,Instacoin ATM,atm,0
99,Tony's Place,hairdresser,0
100,Spa-Nails,beauty,0
101,Blush Nail Bar,beauty,0
102,Good Future,clothes,0
103,Mastermind Toys,toys,0
104,The Mercantile,deli,0
105,Riverdale Park West (Sec. E),Parks; Dog Parks; Active Life; Swimming Pools,1
106,Chris Jerk,restaurant,0
