,h_name,h_address,h_latitude,h_longitude,h_categories,h_id,t_name,t_address,t_latitude,t_longitude,t_categories,t_id,relationship
0,"Department of Environment, Land, Water and Planning",8 Nicholson Street 3002,-37.8083722,144.9734604,office,OSM-8189021215,Hotel Ovolo,19 Little Bourke Street 3000,-37.8107508,144.9719983,hotel,OSM-225419339,0
1,Kmart,,-37.7571975,145.3121216,department_store,OSM-2177939909,Mycar,,-37.75870297220106,145.31173891793594,car_repair,YELP-4119741698,0
2,Parliament of Victoria,,-37.81487425484718,145.22774003456328,office,YELP-9345244597,Eastland,175 Maroondah Highway 3134,-37.813042,145.2291281,mall,OSM-980791081,2
3,Burns,,-37.8143736,144.9747175,historic,OSM-4469523489,Hotel Ovolo,19 Little Bourke Street 3000,-37.8107508,144.9719983,hotel,OSM-225419339,0
4,Crana Grove,,-37.6867469,145.1055692,bus_stop,OSM-9657519196,Apollo Parkways Shopping Centre,Civic Drive,-37.6877555,145.1082048,mall,OSM-288147900,0
5,Newport Library,13 Mason Street 3015,-37.8429213,144.8816867,library,OSM-3465707243,Newport Community Hub,13 Mason Street 3015,-37.8429738,144.8816964,community_centre,OSM-514213764,2
6,Dura-Wear,,-37.8129175,144.9539699,clothes,OSM-9652409034,William Angliss Institute,555 La Trobe Street 3000,-37.8132797,144.9530117,college,OSM-191523966,2
7,Eltham Ridge Pharmacy,284 Bolton Street 3095,-37.7199276,145.1377917,chemist,OSM-1876465754,Eltham Ridge Pharmacy,,-37.71999007040938,145.13752409283362,chemist,YELP-1876465754,1
8,Zamel's Diamond Centre,,-37.814491,144.965813,jewelry,OSM-664318260,State Library of Victoria,328 Swanston Street 3000,-37.8097018,144.965488,library,OSM-22820458,0
9,Southern Cross Trophies and Awards Corporate,157 Victoria Parade 3066,-37.8091704,144.9884807,trophy,OSM-9065755931,The Hive,313-325 Victoria Street 3067,-37.8097238,144.9955377,mall,OSM-69963105,0
10,BWS,189 Reynolds Road 3109,-37.7636992,145.1714989,alcohol,OSM-527875856,Pines Learning & Activity Centre,520 Blackburn Road 3109,-37.7604696,145.1694083,community_centre,OSM-175839231,0
11,Tam tam restaurant,1 Lygon Street 3053,-37.80679,144.965667,restaurant,OSM-477075427,RMIT University,124 La Trobe Street 3000,-37.8082251,144.9645927,university,OSM-616082731,0
12,Chadstone Shopping Centre (Bay 6) ,,-37.8880197,145.0836141,bus_stop,OSM-9837569474,Chadstone Shopping Centre,1341 Dandenong Road 3148,-37.8861084,145.082353,mall,OSM-25806278,3
13,Vien Dai,,-37.9501756,145.1505712,seafood,OSM-5213608170,Springvale Shopping Centre,46-58 Buckingham Avenue,-37.950335,145.1506972,mall,OSM-221010715,2
14,Mr Tulk,,-37.8095603,144.9646236,cafe,OSM-1427579135,Mr Tulk,,-37.8095304,144.9646420,cafe,OSM-9727579102,1
15,John Curtin Hotel,29 Lygon St 3053,-37.8062,144.965856,Bars; Music Venues; Restaurants,YELP-f6higk13BeBR0dSNhaqQLw,Ibis Hotel Melbourne,15-21 Therry Street,-37.8069455,144.9612899,hotel,OSM-310012725,0
