,h_name,h_address,h_latitude,h_longitude,h_categories,h_id,t_name,t_address,t_latitude,t_longitude,t_categories,t_id,relationship
0,The Grilled Cheese Experience,909 Pike Street 98101,47.6123242,-122.3309093,cafe,OSM-6374211340,Washington State Convention Center,800 Convention Place 98101,47.6117274,-122.3316528,attraction,OSM-13866261,2
1,Matt's Fish Basket,,47.62176,-122.3509875,fast_food,OSM-2660559605,Pacific Science Center,200 2nd Avenue North 98109,47.6194208,-122.3513857,museum,OSM-394955903,0
2,The Stop,616 1st,47.602366,-122.333865,fast_food,OSM-2351695664,Monterey Lofts,406 2nd Avenue Extension South 98104,47.6011661,-122.3311664,building,OSM-226323029,0
3,3rd Ave & Madison St ,,47.6055530,-122.3337688,bus_stop,OSM-0078036843,1111 Third Avenue,1111 3rd Avenue 98101,47.6066254,-122.335405,building,OSM-232080287,3
4,AT&T,819 East Pike Street,47.6139342,-122.3216007,mobile_phone,OSM-2159323182,Heath Printers,1617 Boylston Avenue 98122,47.6158435,-122.3237537,building,OSM-206051263,0
5,Kwanjai Thai,469 North 36th Street 98103,47.6516655,-122.3526101,restaurant,OSM-1669418041,Fremont Space,600 North 36th Street 98103,47.6517341,-122.3509958,commercial,OSM-117752664,0
6,Washington State Department of Social & Health Services,500 1st Avenue South 98104,47.5981291,-122.333926,office,OSM-2351730628,Grand Central,107 Occidental Avenue South,47.600335,-122.3337875,building,OSM-140631769,0
7,Jack’s BBQ,228 9th,47.6206442,-122.339603,restaurant,OSM-5680947222,Amazon.com Dawson,345 Boren Avenue North 98109,47.6217693,-122.3365021,office,OSM-148413915,0
8,Pike St & Convention Pl ,,47.6122262,-122.331494,bus_stop,OSM-1500219349,Washington State Convention Center,800 Convention Place 98101,47.6117274,-122.3316528,attraction,OSM-13866261,3
9,The Nest at Thompson Seattle,,47.6105188,-122.341378,bar,OSM-5818837455,Terminal Sales Building,1932 1st Avenue 98101,47.6111281,-122.3421192,building,OSM-206883226,0
10,Mel's Market,,47.6058454,-122.3339583,fast_food,OSM-3655950930,Fairmont Olympic Hotel,411 University Street 98101,47.6080973,-122.3339606,hotel,OSM-35824976,0
11,The Fig & The Judge,515 Madison St 98104,47.606644,-122.330682,American (New); Breakfast & Brunch,YELP-34IdM25cUprfJ-6ig_y99g,Fourth and Madison Building,925 4th Avenue 98104,47.6054683,-122.333227,building,OSM-232080843,0
12,Rocky Mountain Chocolate Factory,99 Yesler Way 98104,47.6016223,-122.334478,confectionery,OSM-2351695739,Rocky Mountain Chocolate Factory,,47.6016189,-122.334477,confectionery,OSM-3391695439,1
13,Subway,806 3rd Avenue 98104,47.6044703,-122.3327062,fast_food,OSM-2404316395,Scheuerman Block,701 1st Avenue 98104,47.602837,-122.3340803,building,OSM-184253177,0
14,Clean Cut Barber Shop,221 James Street,47.6025935,-122.3315,hairdresser,OSM-1216906952,Lyon Building,607 3rd Avenue 98104,47.6028431,-122.3319369,building,OSM-110175997,0
15,CVS Pharmacy,,47.6135643,-122.3414194,pharmacy,OSM-6702059023,Amazon.com Doppler,2021 7th Avenue 98121,47.6149549,-122.3383976,office,OSM-379950575,0
16,The Exercise Space,89 Yesler Way 303 98104,47.6015932,-122.3348999,leisure,OSM-2354406521,Howard Building,612 1st Avenue 98104,47.6023774,-122.3336546,building,OSM-184253774,0
17,Fishermen's Terminal Barber Shop,110,47.6555146,-122.3803883,hairdresser,OSM-3721979425,Fishermen's Green Market & Deli,1900 West Nickerson Street 114 98119,47.6554192,-122.380386,convenience,OSM-3721979525,0
18,Honorary Consulate of France,2200 Alaskan Way 490,47.6111289,-122.347622,office,OSM-3487752194,Market Place Two,2001 Western Avenue 98121,47.6105066,-122.3444444,building,OSM-231355696,0
19,Pike Place Fish Market,86 Pike Street,47.608632,-122.3407292,seafood,OSM-2397497121,Corner Market,1530 Post Alley 98101,47.608958,-122.3405792,marketplace,OSM-206858876,0
20,Ghost Alley Espresso,1499,47.608511,-122.3405735,coffee,OSM-2397460916,Corner Market,1530 Post Alley 98101,47.608958,-122.3405792,marketplace,OSM-206858876,0
21,Shawn O'Donnell's American Grill and Irish Pub,508 2nd Avenue 98104,47.6019851,-122.331971,pub,OSM-2351700814,Howard Building,612 1st Avenue 98104,47.6023774,-122.3336546,building,OSM-184253774,0
22,Brick + Mortar,1210 98101,47.6079456,-122.3343387,shoes,OSM-2404244792,Financial Center,1215 4th Avenue 98161,47.6076166,-122.3347731,commercial,OSM-232079587,0
23,Riot Athletics,1223 Western 98101,47.6060944,-122.339265,leisure,OSM-2404255649,The Alexis Royal Sonesta Hotel Seattle,1007 1st Avenue 98104,47.6047711,-122.3367717,hotel,OSM-284148768,0
24,Seattle Municipal Tower Gallery,5th,47.6050474,-122.3295578,museum,OSM-4829362480,Arctic Building,700 3rd Avenue 98104,47.6038442,-122.3319387,building,OSM-110176001,0
25,Sal Floral Design,1221 1st Avenue 98101,47.606631,-122.338294,Florists,YELP-516Rj1g41UyZEydvivp835,Harbor Steps Southeast Tower,1221 1st Avenue 98101,47.606339,-122.338211,building,OSM-363197077,2
