,h_name,h_address,h_latitude,h_longitude,h_categories,h_id,t_name,t_address,t_latitude,t_longitude,t_categories,t_id,relationship
0,City Square Post Office,180 Kitchener Road #B2-33 City Square 208539,1.3109755,103.8567196,post_office,OSM-4583783513,Mustafa Centre,145 Syed Alwi Road 207704,1.3101243,103.8553164,Shopping Centers,YELP-90c7cff5e412d380ffa8aa,0
1,Boulangerie,Joo Chiat Road,1.3055212,103.9051521,bakery,OSM-4733018630,112 Katong,112 East Coast Rd 428802,1.3051913,103.9050524,Shopping Centers,YELP-21ec32f0279625b97215da,2
2,Opposite Farrer Park Station,,1.3123732,103.8551126,bus_stop,OSM-2429952117,City Square Mall,180 Kitchener Rd 208539,1.3113867,103.8565834,Shopping Centers,YELP-7484514f148ceccc51f38c,0
3,Daiso,"2 Jurong East Central 1 #02-06, JCube 609731",1.33326,103.7401,Department Stores,YELP-618c00ce7c915dabf45573,JCube,2 Jurong East Central 1 609731,1.3331889,103.7401628,Shopping Centers,YELP-55192640f0d43f005e98bf,2
4,LeVel33,,1.280274,103.8542263,bar,OSM-5586638523,CapitaGreen,138 Market Street,1.2818759,103.8500225,Shared Office Spaces; Venues & Event Spaces,YELP-d9b52657b495fd10492151,0
5,Capitol Building,,1.2939406,103.851349,bus_stop,OSM-410476287,Bras Basah Complex,231 Bain St 180231,1.2968252,103.8536328,Bookstores; Arts & Crafts; Shopping Centers,YELP-1ad0af784053bc8ce17b20,0
6,Olympus,Rochor Canal Road,1.3032748,103.8533152,camera,OSM-8076428757,Sim Lim Square,1 Rochor Canal Road 188504,1.3030332,103.8530255,Shopping Centers; Electronics,YELP-328b7d99c63a789bf27195,2
7,Food Republic,Wisma Atria Level 4 435 Orchard Road 238877,1.30379,103.8331909,Street Vendors,YELP-90b6d8da00bc3bde2e12f6,Palais Renaissance,390 Orchard Rd Palais Renaissance 238871,1.3067203,103.8296522,Shopping Centers,YELP-c89d4973b0f678cd128e56,0
8,Nam Nam Noodle Bar,B2-02 Wheelock Place 501 Orchard Road 238880,1.305018649,103.8313469,Vietnamese,YELP-7596796271ae9ed9676030,Liat Towers,541 Orch Rd 238881,1.3051056,103.8307274,Shopping Centers,YELP-7bbc63ca5fe9d625983947,0
9,Giant,2 Jurong East Street 21 #01-100 609601,1.3340708,103.7472706,supermarket,OSM-1932134160,IMM,2 Jurong East Street 21 IMM Building 609601,1.3347654,103.7466237,Shopping Centers,YELP-c93522c4fefc11784299df,2
10,HSBC,,1.3641671,103.8656436,bank,OSM-3105759116,myVillage,1 Maju Avenue 556679,1.3651486,103.8651556,Shopping Centers,YELP-721b0876d75a1c0b58f3ab,0
11,Jypsy,,1.2921589,103.8382536,restaurant,OSM-8383838117,UE Square,81 Clemenceau Ave 239920,1.2921455,103.8426802,Shopping Centers,YELP-864e966dbc7f388671ceaa,0
12,Euro Sense,,1.3544953,103.8311621,beauty,OSM-9271267294,Thomson Plaza,301 Upper Thomson Rd 574408,1.3546008,103.8307608,Shopping Centers,YELP-ca9b8c8979c48d4f6e230c,2
13,Aloha Poke,"30 Raffles Place #01-34, Chevron House 048624",1.28414,103.85182,Salad; Cocktail Bars,YELP-89721d4dc7ad531dbca3a7,Costa Coffee,"30 Raffles Place, Chevron House #01-37 048622",1.28414,103.8518219,Coffee & Tea,YELP-bb3c7b61d840f3abdeb41e,0
14,National Museum of Singapore,,1.297234,103.8488027,information,OSM-6718593995,Wilkie Edge,8 Wilkie Road 228095,1.3023412,103.8495205,Shopping Centers,YELP-f325a413070ba52d95dcfe,0
15,POSB,,1.3181851,103.8925581,atm,OSM-6548876535,Paya Lebar Square,60 Paya Lebar Rd Geylang 409051,1.3188127,103.8926009,Shared Office Spaces; Shopping Centers,YELP-817f493a77b71da6731648,0
16,4Fingers,68 Orchard Road 238839,1.3005963,103.8447319,fast_food,OSM-5819447854,Plaza Singapura,68 Orchard Rd 238839,1.3004574,103.8452085,Shopping Centers,YELP-ea9d338ab82e99bc9e147d,2
17,NTU Canteen 14,34 Nanyang Crescent 637634,1.35259,103.681488,Food,YELP-b7c309f1fde6d72b769af2,Nanyang Technological University,42 Nanyang Ave Level 1 Student Services Centre - Nanyang Technological University (NTU) 639815,1.3483213,103.6830404,Colleges & Universities,YELP-51857d6d93ccddcf476d87,2
18,NUS Faculty Of Design & Environment ,,1.2964289,103.7713352,bus_stop,OSM-609311107,National University of Singapore,clementi road 129754,1.2962828,103.7773116,Colleges & Universities,YELP-e05d6c10d7bca9c84cb4e2,3
19,Starbucks,,1.3015345,103.8376402,cafe,OSM-8164278889,Orchard Grand Court,131 Killiney Rd Orchard Grand Court 239571,1.2974307,103.838479,Apartments; Drugstores; Hotels,YELP-f4d17d1a4e2a8de0bdfd16,0
20,Dior,Orchard Road,1.3043723,103.8322853,clothes,OSM-4748985334,Dior,,1.3043146,103.8322374,clothes,OSM-6668985001,1
21,Mellowers Coffee,,1.2988686,103.8540025,cafe,OSM-5023357603,Fortune Centre,190 Middle Rd 188979,1.3003923,103.852284,Shopping Centers,YELP-e0aad493de064ccfef8360,0
22,Raffles Place (EWL/NSL) Exit H ,,1.2852233,103.8515631,subway_entrance,OSM-1495491923,One Raffles Place,1 Raffles Place 048616,1.2843663,103.850888,Real Estate; Landmarks & Historical Buildings; Shopping Centers,YELP-b25d6741cbcef9f49461d4,3
