,h_name,h_address,h_latitude,h_longitude,h_categories,h_id,t_name,t_address,t_latitude,t_longitude,t_categories,t_id,relationship
0,First Copy,61 College Street,43.6605215,-79.386228,copyshop,OSM-1010180892,Medical Sciences Building,1 King's College Cir M5S 1A8,43.6607748,-79.3933729,Colleges & Universities; Education,YELP-CZ4E9MwQkTvRQ9U5O5YBuA,0
1,T&C Restaurant,,43.6551191,-79.3861176,restaurant,OSM-1409172141,Toronto General Hospital,200 Elizabeth St M5G 2C4,43.6586555,-79.3881573,Hospitals; Health & Medical,YELP-y_fPOMeMrDZsASFcm8Q80w,0
2,Toys Toys Toys,,43.6530352,-79.3799709,toys,OSM-768967827,CF Toronto Eaton Centre,220 Yonge Street M5B 2H1,43.654199,-79.3807996,Shopping Centers; Shopping,YELP-sjJOsKnXxsQodXMr1i8fsg,2
3,The Village of Islington Business Excellence,,43.6460556,-79.531469,coworking_space,OSM-5161264402,Serrano at Village Gate West,11 Dunbloor Rd M9A 0B2,43.643654,-79.5328525,Apartments; Real Estate; Home Services,YELP-F9F6IjrBBB2QW39AwbR85w,0
4,Prada,,43.6687766,-79.3921164,clothes,OSM-1150208608,The Oxley,121 Yorkville Avenue M5R 1C4,43.670519,-79.392956,Gastropubs; Bars; British; Nightlife; Pubs; Restaurants,YELP-n_-CwlqV8fzEIUPky8Ibtw,0
5,Bakery & Kaffee Haus,1921 Yonge Street,43.6987205,-79.3965016,bakery,OSM-3708507179,Hasty Market,21 Davisville Avenue M4S 1G3,43.6982184,-79.3957412,Convenience Stores; Food,YELP-_JA581fR_hPAQzMzY5r2zw,0
6,Panera Bread,,43.6571083,-79.3814184,vacant,OSM-1550501688,Maple Leaf Gardens,60 Carlton St M5B 1L1,43.6622007,-79.3803017,Arts & Entertainment; Stadiums & Arenas,YELP-WuiL8hJD_7H22VxNZnrKHw,0
7,Amazing Nails,,43.6489217,-79.3967162,beauty,OSM-793801991,Soho Metropolitan Hotel,318 Wellington Street W M5V 3T4,43.6449518,-79.3925979,Hotels & Travel; Apartments; Hotels; Home Services; Real Estate; Event Planning & Services,YELP-YqN6cOlehztpqoDY1A2Usg,0
8,Gardiner Shop,,43.6681022,-79.3931577,gift,OSM-862551705,University of Toronto,12 Queens Park Crescent W M5S 1S8,43.663461,-79.3948727,Education; Colleges & Universities,YELP-c0mqmFUNQKE0APAF1r9Ezg,0
9,Aden,348 Yonge Street,43.657909,-79.381834,electronics,OSM-1157113574,Nordstrom,260 Yonge Street M5B 2L9,43.65502,-79.3809392,Women's Clothing; Fashion; Men's Clothing; Shopping; Department Stores,YELP-WN0hOGQhLTJu5uGIv75_7w,0
10,Aldo,,43.6539565,-79.3809448,shoes,OSM-6711380526,CF Toronto Eaton Centre,220 Yonge Street M5B 2H1,43.654199,-79.3807996,Shopping Centers; Shopping,YELP-sjJOsKnXxsQodXMr1i8fsg,2
11,Remedy'sRx,,43.7584331,-79.2337994,pharmacy,OSM-6600812035,Cedarbrae Mall,3495 Lawrence Avenue E M1H 1A9,43.757644,-79.228484,Shopping; Shopping Centers,YELP-RmEIh0hh7OFVABJ9u8YxQw,0
12,7 Wonders Fine Foods,,43.6449761,-79.3875706,fast_food,OSM-3254679450,Soho Metropolitan Hotel,318 Wellington Street W M5V 3T4,43.6449518,-79.3925979,Hotels & Travel; Apartments; Hotels; Home Services; Real Estate; Event Planning & Services,YELP-YqN6cOlehztpqoDY1A2Usg,0
13,University Avenue Armouries,,43.6523637,-79.3867503,information,OSM-2485283862,Staples,375 University Avenue M5G 2J5,43.6534649,-79.3869955,Shopping; Office Equipment,YELP-tODMDeR4Ls6vFH6HKw85QQ,0
14,McDonalds,595 Bay Street W M7A 2C7,43.656066404,-79.3834265716,Burgers; Restaurants; Fast Food,YELP-KCIVWrtbeIlLpzRJWxJz4g,Atrium On Bay,20 Dundas Street W M5G 2C2,43.6563915,-79.3824728,Shopping Centers; Shopping,YELP-RlaOYWzog_LystkmEaJzCw,2
15,City Hall Parking ,,43.653033,-79.3850201,parking,OSM-69075773,Toronto City Hall,100 Queen Street W M5H 2N2,43.6535702,-79.3839426,Landmarks & Historical Buildings; Public Services & Government,YELP-9NSu4CVgcE7CStD57oqzug,3
16,Carlotta Bar,,43.6494936,-79.3920836,restaurant,OSM-3791699560,Soho Metropolitan Hotel,318 Wellington Street W M5V 3T4,43.6449518,-79.3925979,Hotels & Travel; Apartments; Hotels; Home Services; Real Estate; Event Planning & Services,YELP-YqN6cOlehztpqoDY1A2Usg,0
17,Best Buy Mobile,,43.656472,-79.435555,Mobile Phones; Electronics; Shopping; Local Services; IT Services & Computer Repair; Mobile Phone Repair,YELP-073jUdzCpKMMrswpY89135,Dufferin Mall,900 Dufferin Street M6H 4A9,43.6560166,-79.435241,Shopping Centers; Shopping,YELP-Q54L22dIBrnRjSBsjwbOoQ,2
18,Tumi,,43.7255811,-79.451245,bag,OSM-2050015927,Yorkdale Shopping Centre,3401 Dufferin Street M6A 2T9,43.7256058,-79.4521627,Shopping Centers; Shopping,YELP-V6THXtSVkbx4g103_3vXmA,2
19,Yang teashop boba tea,,43.6550169,-79.3865411,beverages,OSM-6791739685,Nathan Phillips Square,100 Queen Street W M5H 2N1,43.6525071,-79.383576,Active Life; Landmarks & Historical Buildings; Public Services & Government; Parks,YELP-sRdtwkUUfLqwmRGoMtguvQ,0
20,Elegant Nails,,43.8086581,-79.2695304,beauty,OSM-6836981029,Woodside Square,1571 Sandhurst Circle M1V 1V2,43.8093985,-79.2694575,Shopping; Shopping Centers,YELP-c-xX-gBihfVyPW0w-zbNBw,2
21,Country Style,777 Bay Street,43.6604396,-79.3847134,cafe,OSM-1191652313,Ryerson University,350 Victoria Street M5B 0A1,43.658393,-79.3783998,Education; Colleges & Universities,YELP-ap2yPjW2fsAOXkVeiE8STQ,0
22,Feta & Olives,595 Bay Street M7A 2C7,43.6559041,-79.383606,Food Stands; Restaurants,YELP-wHTPHng-wWg85AF_y8IDuQ,St. Louis Bar & Grill,,43.656511,-79.382528,restaurant,OSM-1178200305,0
23,Dynamite,,43.6562237,-79.4361298,clothes,OSM-6568142487,DavidsTea,,43.6566139,-79.4360949,tea,OSM-6568182626,0
24,Vivo Rosa,,43.6526097,-79.3804957,shoes,OSM-7421381963,CF Toronto Eaton Centre,220 Yonge Street M5B 2H1,43.654199,-79.3807996,Shopping Centers; Shopping,YELP-sjJOsKnXxsQodXMr1i8fsg,2
25,Steve Madden,,43.6543006,-79.3811643,shoes,OSM-6711380530,Nathan Phillips Square,100 Queen Street W M5H 2N1,43.6525071,-79.383576,Active Life; Landmarks & Historical Buildings; Public Services & Government; Parks,YELP-sRdtwkUUfLqwmRGoMtguvQ,0
26,Marc Cain,,43.6526567,-79.3802262,clothes,OSM-6711381747,Nathan Phillips Square,100 Queen Street W M5H 2N1,43.6525071,-79.383576,Active Life; Landmarks & Historical Buildings; Public Services & Government; Parks,YELP-sRdtwkUUfLqwmRGoMtguvQ,0
27,Downtown Jewellery Mart,257 Yonge Street,43.655115,-79.380219,jewelry,OSM-1207129621,Sheraton Centre Toronto Hotel,123 Queen Street W M5H 2M9,43.6510711,-79.3834742,Hotels & Travel; Event Planning & Services; Hotels,YELP-M7FOXsuEuRbwEfxUrNKv5w,0
28,En Vogue Salon and Spa,"Dufferin Mall, 900 Dufferin St M6H 4B1",43.6563659,-79.4353734,Beauty & Spas; Hair Salons,YELP-192TxfdrQFWBmwIvgTe734,Dufferin Mall,900 Dufferin Street M6H 4A9,43.6560166,-79.435241,Shopping Centers; Shopping,YELP-Q54L22dIBrnRjSBsjwbOoQ,2
29,Homebase,,43.647117,-79.3965257,craft,OSM-343271245,Dragon City,280 Spadina Avenue M5T 3A5,43.6524584,-79.3984549,Shopping; Shopping Centers,YELP-VhF78Nze3kHDzfhpsRWfxQ,0
30,Browns,,43.65315,-79.3806038,shoes,OSM-6711381741,Nathan Phillips Square,100 Queen Street W M5H 2N1,43.6525071,-79.383576,Active Life; Landmarks & Historical Buildings; Public Services & Government; Parks,YELP-sRdtwkUUfLqwmRGoMtguvQ,0
31,Fat Bastard Burrito Co.,1118 Queen Street West M6J 1H9,43.6434053,-79.4233578,fast_food,OSM-4538702960,The Great Hall,1087 Queen Street W M6J 1H3,43.6432662,-79.4220696,Venues & Event Spaces; Event Planning & Services,YELP-aZZQX9CaHIPubYEK3P9sig,0
32,Rizvi Electronics,,43.7984353,-79.3185958,electronics,OSM-2144471502,Bridlewood Mall,2900 Warden Avenue M1W 2S8,43.798351,-79.318426,Shopping; Shopping Centers,YELP-Kow4mJf0znOSU4KSC9QZYg,2
33,Yorkville Avenue,,43.6704282,-79.3949633,bus_stop,OSM-975541346,The Oxley,121 Yorkville Avenue M5R 1C4,43.670519,-79.392956,Gastropubs; Bars; British; Nightlife; Pubs; Restaurants,YELP-n_-CwlqV8fzEIUPky8Ibtw,0
34,Giant Park Bench,,43.6401148,-79.3762849,attraction,OSM-5726859725,Pinnacle Centre,33 Bay Street M5J 2Z3,43.6430557,-79.3766244,Home Services; Real Estate; Apartments,YELP-wMtdEdcmG0zhplZniBxjMw,0
